Roll Number,Student ID,Name,Course,Email,Phone,Password
26032400048,26032400048,Pooja Khandelwal,BSC-AIML,26032400048@gnu.ac.in,9876576806,student123
26032400049,26032400049,Durga Chawla,BSC-AIML,26032400049@gnu.ac.in,9876572216,student123
26032400050,26032400050,Madhuri Gajula,BSC-AIML,26032400050@gnu.ac.in,9876550432,student123
26032400051,26032400051,Monika Tripathi,BSC-AIML,26032400051@gnu.ac.in,9876581449,student123
26032400052,26032400052,Aarti Hegde,BSC-AIML,26032400052@gnu.ac.in,9876515924,student123
26032400053,26032400053,Ishita Arjun,BSC-AIML,26032400053@gnu.ac.in,9876529791,student123
26032400054,26032400054,Sneha Karnad,BSC-AIML,26032400054@gnu.ac.in,9876532817,student123
26032400055,26032400055,Priya Pabolu,BSC-AIML,26032400055@gnu.ac.in,9876537685,student123
26032400056,26032400056,Ananya Narayana,BSC-AIML,26032400056@gnu.ac.in,9876525501,student123
26032400057,26032400057,Kamala Tripathi,BSC-AIML,26032400057@gnu.ac.in,9876591338,student123
26032400058,26032400058,Neha Allu,BSC-AIML,26032400058@gnu.ac.in,9876569488,student123
26032400059,26032400059,Laxmi Bhasin,BSC-AIML,26032400059@gnu.ac.in,9876539759,student123
26032400060,26032400060,Asha Verma,BSC-AIML,26032400060@gnu.ac.in,9876584896,student123
26032433001,26032433001,Harsh Tripathi,BSC-CYBER,26032433001@gnu.ac.in,9876552379,student123
26032433002,26032433002,Nidhi Sana,BSC-CYBER,26032433002@gnu.ac.in,9876589251,student123
26032433003,26032433003,Sunita Raimendru,BSC-CYBER,26032433003@gnu.ac.in,9876577511,student123
26032433004,26032433004,Madhuri Gupta,BSC-CYBER,26032433004@gnu.ac.in,9876593153,student123
26032433005,26032433005,Parth Korimerla,BSC-CYBER,26032433005@gnu.ac.in,9876565841,student123
26032433006,26032433006,Vikram Chawla,BSC-CYBER,26032433006@gnu.ac.in,9876516768,student123
26032433007,26032433007,Aadhya Jain,BSC-CYBER,26032433007@gnu.ac.in,9876528815,student123
26032433008,26032433008,Tarun Pai,BSC-CYBER,26032433008@gnu.ac.in,9876588897,student123
26032433009,26032433009,Sanjay Penmetsa,BSC-CYBER,26032433009@gnu.ac.in,9876524247,student123
26032433010,26032433010,Ankit Chawla,BSC-CYBER,26032433010@gnu.ac.in,9876561047,student123
26032433011,26032433011,Ananya Hegde,BSC-CYBER,26032433011@gnu.ac.in,9876547702,student123
26032433012,26032433012,Gaurav Menon,BSC-CYBER,26032433012@gnu.ac.in,9876549403,student123
26032433013,26032433013,Suresh Chaturvedi,BSC-CYBER,26032433013@gnu.ac.in,9876581045,student123
26032433014,26032433014,Swati Verma,BSC-CYBER,26032433014@gnu.ac.in,9876569177,student123
26032433015,26032433015,Varun Upadhyay,BSC-CYBER,26032433015@gnu.ac.in,9876520601,student123
26032433016,26032433016,Prisha Bharadwaj,BSC-CYBER,26032433016@gnu.ac.in,9876557779,student123
26032433017,26032433017,Sarita Konathala,BSC-CYBER,26032433017@gnu.ac.in,9876599549,student123
26032433018,26032433018,Savita Gajula,BSC-CYBER,26032433018@gnu.ac.in,9876525914,student123
26032433019,26032433019,Anil Prasad,BSC-CYBER,26032433019@gnu.ac.in,9876590279,student123
26032433020,26032433020,Aakash Gupta,BSC-CYBER,26032433020@gnu.ac.in,9876529600,student123
26032433021,26032433021,Nisha Namala,BSC-CYBER,26032433021@gnu.ac.in,9876548866,student123
26032433022,26032433022,Ayush Kaveti,BSC-CYBER,26032433022@gnu.ac.in,9876512174,student123
26032433023,26032433023,Shreya Mandala,BSC-CYBER,26032433023@gnu.ac.in,9876561809,student123
26032433024,26032433024,Rashmi Nuka,BSC-CYBER,26032433024@gnu.ac.in,9876560761,student123
26032433025,26032433025,Yamuna Reddivari,BSC-CYBER,26032433025@gnu.ac.in,9876511783,student123
26032433026,26032433026,Geeta Rao,BSC-CYBER,26032433026@gnu.ac.in,9876511806,student123
26032433027,26032433027,Durga Holla,BSC-CYBER,26032433027@gnu.ac.in,9876536053,student123
26032433028,26032433028,Harsh Korimerla,BSC-CYBER,26032433028@gnu.ac.in,9876514114,student123
26032433029,26032433029,Laxmi Rao,BSC-CYBER,26032433029@gnu.ac.in,9876549304,student123
26032433030,26032433030,Myra Pasupuleti,BSC-CYBER,26032433030@gnu.ac.in,9876511454,student123
26032433031,26032433031,Nidhi Karnad,BSC-CYBER,26032433031@gnu.ac.in,9876550065,student123
26032433032,26032433032,Prisha Desai,BSC-CYBER,26032433032@gnu.ac.in,9876581751,student123
26032433033,26032433033,Savita Nuka,BSC-CYBER,26032433033@gnu.ac.in,9876510977,student123
26032433034,26032433034,Swati Kandukuri,BSC-CYBER,26032433034@gnu.ac.in,9876597039,student123
26032433035,26032433035,Sonia Pachava,BSC-CYBER,26032433035@gnu.ac.in,9876533443,student123
26032433036,26032433036,Seema Chawla,BSC-CYBER,26032433036@gnu.ac.in,9876596247,student123
26032433037,26032433037,Neha Pai,BSC-CYBER,26032433037@gnu.ac.in,9876597323,student123
26032433038,26032433038,Rashmi Gadde,BSC-CYBER,26032433038@gnu.ac.in,9876549329,student123
26032433039,26032433039,Shweta Rawat,BSC-CYBER,26032433039@gnu.ac.in,9876517189,student123
26032433040,26032433040,Deepika Trivedi,BSC-CYBER,26032433040@gnu.ac.in,9876585883,student123
26032433041,26032433041,Navya Gorthy,BSC-CYBER,26032433041@gnu.ac.in,9876542614,student123
26032433042,26032433042,Basanti Chaturvedi,BSC-CYBER,26032433042@gnu.ac.in,9876510752,student123
26032433043,26032433043,Ananya Gupta,BSC-CYBER,26032433043@gnu.ac.in,9876586003,student123
26032433044,26032433044,Nikita Singh,BSC-CYBER,26032433044@gnu.ac.in,9876524713,student123
26032433045,26032433045,Aadhya Sangem,BSC-CYBER,26032433045@gnu.ac.in,9876516635,student123
26032433046,26032433046,Richa Mannem,BSC-CYBER,26032433046@gnu.ac.in,9876514875,student123
26032433047,26032433047,Sneha Saladi,BSC-CYBER,26032433047@gnu.ac.in,9876558916,student123
26032433048,26032433048,Nisha Khandelwal,BSC-CYBER,26032433048@gnu.ac.in,9876536438,student123
26032433049,26032433049,Manpreet Holla,BSC-CYBER,26032433049@gnu.ac.in,9876523591,student123
26032433050,26032433050,Simran Verma,BSC-CYBER,26032433050@gnu.ac.in,9876583655,student123
26032433051,26032433051,Aarti Namala,BSC-CYBER,26032433051@gnu.ac.in,9876593759,student123
26032433052,26032433052,Ritu Mekala,BSC-CYBER,26032433052@gnu.ac.in,9876562834,student123
26032433053,26032433053,Laxmi Joshi,BSC-CYBER,26032433053@gnu.ac.in,9876558409,student123
26032433054,26032433054,Savita Nuka,BSC-CYBER,26032433054@gnu.ac.in,9876551203,student123
26032433055,26032433055,Rekha Gottumukkula,BSC-CYBER,26032433055@gnu.ac.in,9876553580,student123
26032433056,26032433056,Ananya Reddy,BSC-CYBER,26032433056@gnu.ac.in,9876593054,student123
26032433057,26032433057,Ritu Patel,BSC-CYBER,26032433057@gnu.ac.in,9876570545,student123
26032433058,26032433058,Sneha Pilli,BSC-CYBER,26032433058@gnu.ac.in,9876578541,student123
26032433059,26032433059,Ishita Pandipilli,BSC-CYBER,26032433059@gnu.ac.in,9876533589,student123
26032433060,26032433060,Anjali Saride,BSC-CYBER,26032433060@gnu.ac.in,9876558867,student123
26032432001,26032432001,Anika Menon,BSC-IMS,26032432001@gnu.ac.in,9876579895,student123
26032432002,26032432002,Laxmi Bhasin,BSC-IMS,26032432002@gnu.ac.in,9876595235,student123
26032432003,26032432003,Raj Hegde,BSC-IMS,26032432003@gnu.ac.in,9876510346,student123
26032432004,26032432004,Deepak Rachamalla,BSC-IMS,26032432004@gnu.ac.in,9876593658,student123
26032432005,26032432005,Riya Pandipilli,BSC-IMS,26032432005@gnu.ac.in,9876593787,student123
26032432006,26032432006,Gaurav Mahajan,BSC-IMS,26032432006@gnu.ac.in,9876567846,student123
26032432007,26032432007,Sunita Patel,BSC-IMS,26032432007@gnu.ac.in,9876520388,student123
26032432008,26032432008,Rajesh Repaka,BSC-IMS,26032432008@gnu.ac.in,9876541339,student123
26032432009,26032432009,Saksham Mungamuri,BSC-IMS,26032432009@gnu.ac.in,9876591972,student123
26032432010,26032432010,Anil Sana,BSC-IMS,26032432010@gnu.ac.in,9876555416,student123
26032432011,26032432011,Rekha Mandala,BSC-IMS,26032432011@gnu.ac.in,9876533083,student123
26032432012,26032432012,Geeta Pabolu,BSC-IMS,26032432012@gnu.ac.in,9876565840,student123
26032432013,26032432013,Rekha Sabbella,BSC-IMS,26032432013@gnu.ac.in,9876512531,student123
26032432014,26032432014,Akash Palle,BSC-IMS,26032432014@gnu.ac.in,9876591645,student123
26032432015,26032432015,Akash Kaveti,BSC-IMS,26032432015@gnu.ac.in,9876564057,student123
26032432016,26032432016,Asha Namala,BSC-IMS,26032432016@gnu.ac.in,9876539334,student123
26032432017,26032432017,Geeta Jain,BSC-IMS,26032432017@gnu.ac.in,9876570147,student123
26032432018,26032432018,Anil Damera,BSC-IMS,26032432018@gnu.ac.in,9876572191,student123
26032432019,26032432019,Aadhya Bharadwaj,BSC-IMS,26032432019@gnu.ac.in,9876524051,student123
26032432020,26032432020,Manish Arjun,BSC-IMS,26032432020@gnu.ac.in,9876598342,student123
26032432021,26032432021,Suresh Kotagiri,BSC-IMS,26032432021@gnu.ac.in,9876565241,student123
26032432022,26032432022,Asha Kolli,BSC-IMS,26032432022@gnu.ac.in,9876586389,student123
26032432023,26032432023,Utkarsh Bharadwaj,BSC-IMS,26032432023@gnu.ac.in,9876516792,student123
26032432024,26032432024,Monika Saladi,BSC-IMS,26032432024@gnu.ac.in,9876536567,student123
26032432025,26032432025,Divya Agarwal,BSC-IMS,26032432025@gnu.ac.in,9876510166,student123
26032432026,26032432026,Sunil Rao,BSC-IMS,26032432026@gnu.ac.in,9876537003,student123
26032432027,26032432027,Ramesh Bhasin,BSC-IMS,26032432027@gnu.ac.in,9876583301,student123
26032432028,26032432028,Laxmi Gadde,BSC-IMS,26032432028@gnu.ac.in,9876591799,student123
26032432029,26032432029,Suresh Seelam,BSC-IMS,26032432029@gnu.ac.in,9876523296,student123
26032432030,26032432030,Deepika Kaveti,BSC-IMS,26032432030@gnu.ac.in,9876592571,student123
26032432031,26032432031,Savita Chaturvedi,BSC-IMS,26032432031@gnu.ac.in,9876547401,student123
26032432032,26032432032,Sarita Penmetsa,BSC-IMS,26032432032@gnu.ac.in,9876541413,student123
26032432033,26032432033,Nisha Namala,BSC-IMS,26032432033@gnu.ac.in,9876599807,student123
26032432034,26032432034,Shweta Pachava,BSC-IMS,26032432034@gnu.ac.in,9876591597,student123
26032432035,26032432035,Nikita Pandipilli,BSC-IMS,26032432035@gnu.ac.in,9876544448,student123
26032432036,26032432036,Aarti Shetty,BSC-IMS,26032432036@gnu.ac.in,9876587628,student123
26032432037,26032432037,Divya Joshi,BSC-IMS,26032432037@gnu.ac.in,9876580602,student123
26032432038,26032432038,Anika Upadhyay,BSC-IMS,26032432038@gnu.ac.in,9876599704,student123
26032432039,26032432039,Harpreet Garrepally,BSC-IMS,26032432039@gnu.ac.in,9876533294,student123
26032432040,26032432040,Anita Nair,BSC-IMS,26032432040@gnu.ac.in,9876586689,student123
26032432041,26032432041,Anjali Yadav,BSC-IMS,26032432041@gnu.ac.in,9876526673,student123
26032432042,26032432042,Harpreet Kotagiri,BSC-IMS,26032432042@gnu.ac.in,9876566143,student123
26032432043,26032432043,Aisha Shetty,BSC-IMS,26032432043@gnu.ac.in,9876589080,student123
26032432044,26032432044,Prisha Kini,BSC-IMS,26032432044@gnu.ac.in,9876566841,student123
26032432045,26032432045,Kiran Acharya,BSC-IMS,26032432045@gnu.ac.in,9876549402,student123
26032432046,26032432046,Asha Damera,BSC-IMS,26032432046@gnu.ac.in,9876574718,student123
26032432047,26032432047,Prisha Mekala,BSC-IMS,26032432047@gnu.ac.in,9876561280,student123
26032432048,26032432048,Nidhi Singh,BSC-IMS,26032432048@gnu.ac.in,9876555981,student123
26032432049,26032432049,Kavita Maurya,BSC-IMS,26032432049@gnu.ac.in,9876595323,student123
26032432050,26032432050,Kamala Pande,BSC-IMS,26032432050@gnu.ac.in,9876597307,student123
26032432051,26032432051,Monika Mehta,BSC-IMS,26032432051@gnu.ac.in,9876518664,student123
26032432052,26032432052,Priya Bharadwaj,BSC-IMS,26032432052@gnu.ac.in,9876523763,student123
26032432053,26032432053,Deepika Bobby,BSC-IMS,26032432053@gnu.ac.in,9876560204,student123
26032432054,26032432054,Seema Verma,BSC-IMS,26032432054@gnu.ac.in,9876552284,student123
26032432055,26032432055,Pooja Desai,BSC-IMS,26032432055@gnu.ac.in,9876591528,student123
26032432056,26032432056,Avni Guduru,BSC-IMS,26032432056@gnu.ac.in,9876573755,student123
26032432057,26032432057,Swati Pabolu,BSC-IMS,26032432057@gnu.ac.in,9876528010,student123
26032432058,26032432058,Priyanka Mannem,BSC-IMS,26032432058@gnu.ac.in,9876563380,student123
26032432059,26032432059,Priyanka Hegde,BSC-IMS,26032432059@gnu.ac.in,9876540150,student123
26032432060,26032432060,Manpreet Mamidala,BSC-IMS,26032432060@gnu.ac.in,9876540064,student123
26032431001,26032431001,Siddharth Menon,BSC-IT,26032431001@gnu.ac.in,9876560357,student123
26032431002,26032431002,Aditya Singh,BSC-IT,26032431002@gnu.ac.in,9876538535,student123
26032431003,26032431003,Savita Bhat,BSC-IT,26032431003@gnu.ac.in,9876521719,student123
26032431004,26032431004,Vikram Gupta,BSC-IT,26032431004@gnu.ac.in,9876552284,student123
26032431005,26032431005,Ramesh Reddem,BSC-IT,26032431005@gnu.ac.in,9876577217,student123
26032431006,26032431006,Rajesh Prasad,BSC-IT,26032431006@gnu.ac.in,9876551559,student123
26032431007,26032431007,Vijay Naidu,BSC-IT,26032431007@gnu.ac.in,9876584413,student123
26032431008,26032431008,Myra Yandapalli,BSC-IT,26032431008@gnu.ac.in,9876524727,student123
26032431009,26032431009,Ashish Patlola,BSC-IT,26032431009@gnu.ac.in,9876564295,student123
26032431010,26032431010,Geeta Jana,BSC-IT,26032431010@gnu.ac.in,9876595770,student123
26032431011,26032431011,Riya Manda,BSC-IT,26032431011@gnu.ac.in,9876576068,student123
26032431012,26032431012,Yamuna Reddy,BSC-IT,26032431012@gnu.ac.in,9876570772,student123
26032431013,26032431013,Kshitij Bharadwaj,BSC-IT,26032431013@gnu.ac.in,9876564587,student123
26032431014,26032431014,Nisha Saladi,BSC-IT,26032431014@gnu.ac.in,9876563163,student123
26032431015,26032431015,Akash Pachava,BSC-IT,26032431015@gnu.ac.in,9876559045,student123
26032431016,26032431016,Sneha Kashyap,BSC-IT,26032431016@gnu.ac.in,9876576015,student123
26032431017,26032431017,Ganga Dwivedi,BSC-IT,26032431017@gnu.ac.in,9876585120,student123
26032431018,26032431018,Ananya Kaveti,BSC-IT,26032431018@gnu.ac.in,9876561348,student123
26032431019,26032431019,Vishal Peddapulu,BSC-IT,26032431019@gnu.ac.in,9876536313,student123
26032431020,26032431020,Vikram Kotagiri,BSC-IT,26032431020@gnu.ac.in,9876574402,student123
26032431021,26032431021,Raj Bhasin,BSC-IT,26032431021@gnu.ac.in,9876535639,student123
26032431022,26032431022,Vikram Thakur,BSC-IT,26032431022@gnu.ac.in,9876566279,student123
26032431023,26032431023,Durga Sangem,BSC-IT,26032431023@gnu.ac.in,9876566170,student123
26032431024,26032431024,Shubham Kumar,BSC-IT,26032431024@gnu.ac.in,9876548399,student123
26032431025,26032431025,Rashmi Dubey,BSC-IT,26032431025@gnu.ac.in,9876549831,student123
26032431026,26032431026,Rohit Mekala,BSC-IT,26032431026@gnu.ac.in,9876542502,student123
26032431027,26032431027,Geeta Repaka,BSC-IT,26032431027@gnu.ac.in,9876520648,student123
26032431028,26032431028,Parth Saladi,BSC-IT,26032431028@gnu.ac.in,9876546935,student123
26032431029,26032431029,Girish Kumar,BSC-IT,26032431029@gnu.ac.in,9876576699,student123
26032431030,26032431030,Seema Damera,BSC-IT,26032431030@gnu.ac.in,9876573381,student123
26032431031,26032431031,Rashmi Vaddadi,BSC-IT,26032431031@gnu.ac.in,9876599218,student123
26032431032,26032431032,Sarita Gupta,BSC-IT,26032431032@gnu.ac.in,9876520909,student123
26032431033,26032431033,Sarita Tripathi,BSC-IT,26032431033@gnu.ac.in,9876530414,student123
26032431034,26032431034,Ritu Rao,BSC-IT,26032431034@gnu.ac.in,9876596498,student123
26032431035,26032431035,Savita Damera,BSC-IT,26032431035@gnu.ac.in,9876545136,student123
26032431036,26032431036,Anita Mahindra,BSC-IT,26032431036@gnu.ac.in,9876565781,student123
26032431037,26032431037,Nidhi Jana,BSC-IT,26032431037@gnu.ac.in,9876595298,student123
26032431038,26032431038,Nidhi Kumar,BSC-IT,26032431038@gnu.ac.in,9876513005,student123
26032431039,26032431039,Pooja Thakur,BSC-IT,26032431039@gnu.ac.in,9876578437,student123
26032431040,26032431040,Monika Agarwal,BSC-IT,26032431040@gnu.ac.in,9876587426,student123
26032431041,26032431041,Asha Chowdary,BSC-IT,26032431041@gnu.ac.in,9876566760,student123
26032431042,26032431042,Richa Maddala,BSC-IT,26032431042@gnu.ac.in,9876512347,student123
26032431043,26032431043,Rashmi Acharya,BSC-IT,26032431043@gnu.ac.in,9876587809,student123
26032431044,26032431044,Nisha Penmetsa,BSC-IT,26032431044@gnu.ac.in,9876573997,student123
26032431045,26032431045,Savita Patlola,BSC-IT,26032431045@gnu.ac.in,9876529338,student123
26032431046,26032431046,Kiran Kaveti,BSC-IT,26032431046@gnu.ac.in,9876565999,student123
26032431047,26032431047,Pooja Kotagiri,BSC-IT,26032431047@gnu.ac.in,9876569368,student123
